PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ali, SR; Ranjbarvaziri, S; Talkhabi, M; Zhao, P; Subat, A; Hojjat, A; Kamran, P; Muller, AMS; Volz, KS; Tang, ZY; Red-Horse, K; Ardehali, R				Ali, Shah R.; Ranjbarvaziri, Sara; Talkhabi, Mahmood; Zhao, Peng; Subat, Ali; Hojjat, Armin; Kamran, Paniz; Mueller, Antonia M. S.; Volz, Katharina S.; Tang, Zhaoyi; Red-Horse, Kristy; Ardehali, Reza			Developmental Heterogeneity of Cardiac Fibroblasts Does Not Predict Pathological Proliferation and Activation	CIRCULATION RESEARCH												Rationale: Fibrosis is mediated partly by extracellular matrix-depositing fibroblasts in the heart. Although these mesenchymal cells are reported to have multiple embryonic origins, the functional consequence of this heterogeneity is unknown. Objective: We sought to validate a panel of surface markers to prospectively identify cardiac fibroblasts. We elucidated the developmental origins of cardiac fibroblasts and characterized their corresponding phenotypes. We also determined proliferation rates of each developmental subset of fibroblasts after pressure overload injury. Methods and Results: We showed that Thy1(+)CD45(-)CD31(-)CD11b(-)Ter119(-) cells constitute the majority of cardiac fibroblasts. We characterized these cells using flow cytometry, epifluorescence and confocal microscopy, and transcriptional profiling (using reverse transcription polymerase chain reaction and RNA-seq). We used lineage tracing, transplantation studies, and parabiosis to show that most adult cardiac fibroblasts derive from the epicardium, a minority arises from endothelial cells, and a small fraction from Pax3-expressing cells. We did not detect generation of cardiac fibroblasts by bone marrow or circulating cells. Interestingly, proliferation rates of fibroblast subsets on injury were identical, and the relative abundance of each lineage remained the same after injury. The anatomic distribution of fibroblast lineages also remained unchanged after pressure overload. Furthermore, RNA-seq analysis demonstrated that Tie2-derived and Tbx18-derived fibroblasts within each operation group exhibit similar gene expression profiles. Conclusions: The cellular expansion of cardiac fibroblasts after transaortic constriction surgery was not restricted to any single developmental subset. The parallel proliferation and activation of a heterogeneous population of fibroblasts on pressure overload could suggest that common signaling mechanisms stimulate their pathological response.					Muller, Antonia Maria Susanne/0000-0003-4420-9466												0009-7330	1524-4571				SEP 12	2014	115	7					625	U81		10.1161/CIRCRESAHA.115.303794							WOS:000342076700010	25037571					
J	Otsuru, S; Hofmann, TJ; Raman, P; Olson, TS; Guess, AJ; Dominici, M; Horwitz, EM				Otsuru, Satoru; Hofmann, Ted J.; Raman, Pichai; Olson, Timothy S.; Guess, Adam J.; Dominici, Massimo; Horwitz, Edwin M.			Genomic and functional comparison of mesenchymal stromal cells prepared using two isolation methods	CYTOTHERAPY												Background aims. Mesenchymal stromal cells (MSCs) have been applied to patients in cell therapy for various diseases. Recently, we introduced a novel MSC separation filter device which could yield approximately 2.5-fold more MSCs from bone marrow in a closed system compared with the conventional open density gradient centrifugation method. MSCs isolated with these two methods were phenotypically similar and met the criteria defining human MSC proposed by the International Society for Cellular Therapy. However, these criteria do not reflect the functional capacity of MSCs. It has been shown that the donor, source, isolation method, culture condition and cryopreservation of MSCs have potential to alter their therapeutic efficacy. To determine the equivalency of MSCs isolated by these two methods, we compared their genomic profiles as an index of their biologic potential and evaluated their growth promoting potential as an index of function. Methods. The gene expression profiles of human MSCs isolated from 5 healthy donors with two distinct methods were obtained from microarray analyses. The functional activity of freshly expanded/cryopreserved MSCs from these two isolation methods was evaluated using an in vitro chondrocyte proliferation assay. Results. Freshly expanded MSCs isolated by these two methods were found to exhibit similar gene expression profiles and equivalent therapeutic effects, while freshly thawed, cryopreserved MSCs lacked all measureable therapeutic activity. Conclusions. The MSC separation device generates genomically and functionally equivalent MSCs compared with the conventionally isolated MSCs, although freshly thawed, cryopreserved MSCs, isolated by either method, are devoid of activity in our bioassay.				Dominici, Massimo/K-8014-2016	Dominici, Massimo/0000-0002-4007-1503												1465-3249	1477-2566				MAR	2015	17	3					262	270		10.1016/j.jcyt.2014.10.013							WOS:000349653200004	25659640					
J	Mateo, F; Meca-Cortes, O; Celia-Terrassa, T; Fernandez, Y; Abasolo, I; Sanchez-Cid, L; Bermudo, R; Sagasta, A; Rodriguez-Carunchio, L; Pons, M; Canovas, V; Marin-Aguilera, M; Mengual, L; Alcaraz, A; Schwartz, S; Mellado, B; Aguilera, KY; Brekken, R; Fernandez, PL; Paciucci, R; Thomson, TM				Mateo, Francesca; Meca-Cortes, Oscar; Celia-Terrassa, Toni; Fernandez, Yolanda; Abasolo, Ibane; Sanchez-Cid, Lourdes; Bermudo, Raquel; Sagasta, Amaia; Rodriguez-Carunchio, Leonardo; Pons, Monica; Canovas, Veronica; Marin-Aguilera, Mercedes; Mengual, Lourdes; Alcaraz, Antonio; Schwartz, Simo, Jr.; Mellado, Begona; Aguilera, Kristina Y.; Brekken, Rolf; Fernandez, Pedro L.; Paciucci, Rosanna; Thomson, Timothy M.			SPARC mediates metastatic cooperation between CSC and non-CSC prostate cancer cell subpopulations	MOLECULAR CANCER												Background: Tumor cell subpopulations can either compete with each other for nutrients and physical space within the tumor niche, or co-operate for enhanced survival, or replicative or metastatic capacities. Recently, we have described co-operative interactions between two clonal subpopulations derived from the PC-3 prostate cancer cell line, in which the invasiveness of a cancer stem cell (CSC)-enriched subpopulation (PC-3M, or M) is enhanced by a non-CSC subpopulation (PC-3S, or S), resulting in their accelerated metastatic dissemination. Methods: M and S secretomes were compared by SILAC (Stable Isotope Labeling by Aminoacids in Cell Culture). Invasive potential in vitro of M cells was analyzed by Transwell-Matrigel assays. M cells were co-injected with S cells in the dorsal prostate of immunodeficient mice and monitored by bioluminescence for tumor growth and metastatic dissemination. SPARC levels were determined by immunohistochemistry and real-time RT-PCR in tumors and by ELISA in plasma from patients with metastatic or non-metastatic prostate cancer. Results: Comparative secretome analysis yielded 213 proteins differentially secreted between M and S cells. Of these, the protein most abundantly secreted in S relative to M cells was SPARC. Immunodepletion of SPARC inhibited the enhanced invasiveness of M induced by S conditioned medium. Knock down of SPARC in S cells abrogated the capacity of its conditioned medium to enhance the in vitro invasiveness of M cells and compromised their potential to boost the metastatic behavior of M cells in vivo. In most primary human prostate cancer samples, SPARC was expressed in the epithelial tumoral compartment of metastatic cases. Conclusions: The matricellular protein SPARC, secreted by a prostate cancer clonal tumor cell subpopulation displaying non-CSC properties, is a critical mediator of paracrine effects exerted on a distinct tumor cell subpopulation enriched in CSC. This paracrine interaction results in an enhanced metastatic behavior of the CSC-enriched tumor subpopulation. SPARC is expressed in the neoplastic cells of primary prostate cancer samples from metastatic cases, and could thus constitute a tumor progression biomarker and a therapeutic target in advanced prostate cancer.				Schwartz, Simo/H-7776-2012; Celia-Terrassa, Toni/M-4808-2014; Meca-Cortes, Oscar/H-3257-2015; Thomson, Timothy/Z-6271-2019; Mateo, Francesca/K-7746-2015; Fernandez, Pedro L/H-2594-2017; Pons, Monica/AAB-5309-2019; Abasolo, Ibane/H-7741-2012; , Mercedes/A-4426-2014	Celia-Terrassa, Toni/0000-0002-0615-8744; Meca-Cortes, Oscar/0000-0002-7389-9956; Thomson, Timothy/0000-0002-4670-9440; Mateo, Francesca/0000-0002-2342-7010; Abasolo, Ibane/0000-0001-5970-6276; Mengual, Lourdes/0000-0001-7418-9422; , Mercedes/0000-0002-2205-3459; Canovas, Veronica/0000-0002-1994-5763; Schwartz, Simo/0000-0001-8297-7971; Paciucci, Rosanna/0000-0001-5651-5933; Alcaraz Asensio, Antonio/0000-0003-2612-5250; Sagasta Lacalle, Amaia/0000-0001-9811-7394; Aguilera, Kristina/0000-0002-0877-9798												1476-4598					OCT 21	2014	13								237	10.1186/1476-4598-13-237							WOS:000346387000001	25331979					
J	Orlandi, A; Bennett, M				Orlandi, Augusto; Bennett, Martin			Progenitor cell-derived smooth muscle cells in vascular disease	BIOCHEMICAL PHARMACOLOGY												Accumulation of vascular smooth muscle cells (VSMCs) in the tunica intima plays a major role in the pathogenesis of atherosclerosis and restenosis following endovascular procedures. Arterial VSMCs are heterogeneous even in the normal vessel wall and display different phenotypes in physiological and pathological conditions. In the classical paradigm, vascular wall injury induces VSMC de-differentiation, proliferation and migration from the media into the intima in response to growth factors and proteolytic agents. Accordingly, VSMCs in atherosclerotic plaques and in restenosis display a de-differentiated or 'synthetic' phenotype compared to a 'contractile' phenotype in the normal media. In contrast, recent studies have identified bone marrow and peripheral blood-derived endothelial and VSMC progenitors that may contribute to intimal formation in atherosclerosis, after arterial injury and in transplant atherosclerosis. The precise frequency of these bone marrow-derived vascular precursor cells is controversial and their role is unknown. In addition, additional data support the presence of a resident progenitor cell subpopulation and its involvement in the response of the adult arterial wall to damage or ischemia. This review will examine the evidence for and the putative role of progenitor cell-derived VSMCs in arterial disease, a necessary prerequisite before deciding whether progenitor cells are therapeutic targets in vascular disease. (C) 2010 Elsevier Inc. All rights reserved.					Bennett, Martin/0000-0002-2565-1825; orlandi, augusto/0000-0001-7202-5854												0006-2952	1873-2968				JUN 15	2010	79	12					1706	1713		10.1016/j.bcp.2010.01.027							WOS:000276986000002	20117099					
J	Tucci, M; D'Oronzo, S; Mannavola, F; Felici, C; Lovero, D; Cafforio, P; Palmirotta, R; Silvestris, F				Tucci, Marco; D'Oronzo, Stella; Mannavola, Francesco; Felici, Claudia; Lovero, Domenica; Cafforio, Paola; Palmirotta, Raffaele; Silvestris, Franco			Dual-procedural separation of CTCs in cutaneous melanoma provides useful information for both molecular diagnosis and prognosis	THERAPEUTIC ADVANCES IN MEDICAL ONCOLOGY												Background: Circulating tumor cells (CTCs) have recently emerged as a new dynamic soluble marker for several malignancies including cutaneous melanoma (CM) and are suitable for prognostic evaluations and treatment monitoring. However, to date many limitations still hamper the wide-scale application of CTCs in CM setting, including the lack of standardized methods as well as both low levels and heterogeneity of these cells. Methods: We developed a protocol for CTC detection in CM based on immune-magnetic sorting to deplete CD45-, CD31- or CD34-positive cells, followed by dielectrophoretic DEPArray separation according to cell morphology and immunophenotype. To this end, we explored the expression of melanoma stem cell antigens (CD271, ABCB5, and RANK) and the epithelial-to-mesenchymal transition markers (N-Cad, -CD44, and -MCAM/CD146) on CTCs from 17 stage IV CM patients, and investigated their BRAF mutational status by droplet digital PCR. Results: The number of CTCs isolated from CM patients ranged from 2 to 91 cells (38 +/- 6.4) with respect to healthy donors (p < 0.0002). To confirm the melanoma origin of isolated cells, we observed an 80% agreement between their BRAF(V600) mutational status and matched primary tumors. The characterization of the immune phenotype of isolated cells revealed high interindividual and intraindividual heterogeneity that was found to correlate with the clinical outcome. Conclusions: The dual-step protocol of immune-magnetic sorting and subsequent dielectrophoretic DEPArray separation, turned out to be a suitable method to isolate viable CTCs from stage IV melanoma patients and enabled quantitative and qualitative analyses on these cells, which may deserve prospective evaluation for potential use in the clinical practice.				D'Oronzo, Stella/AAA-9784-2019; palmirotta, raffaele/E-3286-2017; Mannavola, Francesco/I-3279-2018; Lovero, Domenica/I-7849-2018	D'Oronzo, Stella/0000-0002-1071-2058; palmirotta, raffaele/0000-0002-9401-7377; Tucci, Marco Gaetano/0000-0003-4008-4897; Mannavola, Francesco/0000-0003-2623-4166; Lovero, Domenica/0000-0002-7883-8896												1758-8340	1758-8359				MAR	2020	12								1758835920905415	10.1177/1758835920905415							WOS:000524680400001	32206092					
J	Durand, M; Collombet, JM; Frasca, S; Sarilar, V; Lataillade, JJ; Le Bousse-Kerdiles, MC; Holy, X				Durand, Marjorie; Collombet, Jean-Marc; Frasca, Sophie; Sarilar, Veronique; Lataillade, Jean-Jacques; Le Bousse-Kerdiles, Marie-Caroline; Holy, Xavier			Separate and combined effects of hypobaric hypoxia and hindlimb suspension on skeletal homeostasis and hematopoiesis in mice	HYPOXIA												Purpose: Bone marrow response to an organismal stress is made by orchestrating the interplay between hematopoietic stem/progenitor cells (HSPCs) and mesenchymal stromal cells (MSCs). Neither the cellular nor the molecular factors that regulate this process are fully understood, especially since this mechanism probably varies depending on the type of stress. Herein, we explored the differentiation and fate of MSCs and HSPCs in mice challenged with a hematopoietic stress or a mechanical stress applied separately or in combination. Methods: Mice were subjected to 4 days of hypobaric hypoxia (hematopoietic challenge) and/or 7 days of hindlimb suspension (stromal challenge) and then sacrificed for blood and bone collection. Using hematological measurements, colony-forming unit assays, bone histomorphometry and array-based multiplex ELISA analysis, we evaluated challenge influences on both MSC and HSPC mobilization, differentiation (osteoblasts, osteoclasts, and mature blood cells) and fate. Results: We found that hypoxia leads to HSPC mobilization and that an imbalance between bone formation and bone resorption accounts for this mobilization. Whilst suspension is also associated with an imbalance between bone formation and bone resorption, it does not induce HSPC mobilization. Then, we revealed cellular interactions by combining hematopoietic and stromal challenges together in mice. We showed that the hypoxia-driven HSPC mobilization is moderated by suspension. Moreover, when applied in a hypoxic environment, suspension offsets bone imbalance. We identified stroma cell-derived factors MIP-1 alpha, HGF and SDF-1 as potent molecular key players sustaining interactions between hindlimb suspension and hypobaric hypoxia. Conclusion: Taken together, our data highlight the benefit of combining different types of stress to better understand the interplay between MSCs and HSPCs.				Frasca, Sophie/Q-5814-2018	Frasca, Sophie/0000-0002-1304-952X; Sarilar, Veronique/0000-0001-9067-7186													2324-1128					2019	7						41	52		10.2147/HP.S195827							WOS:000477074100001	31440522					
J	Roh, V; Abramowski, P; Hiou-Feige, A; Cornils, K; Rivals, JP; Zougman, A; Aranyossy, T; Thielecke, L; Truan, Z; Mermod, M; Monnier, Y; Prassolov, V; Glauche, I; Nowrouzi, A; Abdollahi, A; Fehse, B; Simon, C; Tolstonog, GV				Roh, Vincent; Abramowski, Pierre; Hiou-Feige, Agnes; Cornils, Kerstin; Rivals, Jean-Paul; Zougman, Alexandre; Aranyossy, Tim; Thielecke, Lars; Truan, Zinnia; Mermod, Maxime; Monnier, Yan; Prassolov, Vladimir; Glauche, Ingmar; Nowrouzi, Ali; Abdollahi, Amir; Fehse, Boris; Simon, Christian; Tolstonog, Genrich V.			Cellular Barcoding Identifies Clonal Substitution as a Hallmark of Local Recurrence in a Surgical Model of Head and Neck Squamous Cell Carcinoma	CELL REPORTS												Local recurrence after surgery for head and neck squamous cell carcinoma (HNSCC) remains a common event associated with a dismal prognosis. Improving this outcome requires a better understanding of cancer cell populations that expand from postsurgical minimal residual disease (MRD). Therefore, we assessed clonal dynamics in a surgical model of barcoded HNSCC growing in the submental region of immunodeficient mice. Clonal substitution and massive reduction of clonal heterogeneity emerged as hallmarks of local recurrence, as the clones dominating in less heterogeneous recurrences were scarce in their matched primary tumors. These lineages were selected by their ability to persist after surgery and competitively expand from MRD. Clones enriched in recurrences exhibited both private and shared genetic features and likely originated from ancestors shared with clones dominating in primary tumors. They demonstrated high invasiveness and epithelial-to-mesenchymal transition, eventually providing an attractive target for obtaining better local control for these tumors.				Fehse, Boris/A-8721-2012	Fehse, Boris/0000-0001-9780-7211												2211-1247					NOV 20	2018	25	8					2208	+		10.1016/j.celrep.2018.10.090							WOS:000450794200019	30463016					
J	Sun, LK; Wang, L; Chen, TX; Shi, Y; Yao, BW; Liu, ZK; Wang, YF; Li, Q; Liu, RK; Niu, YS; Tu, KS; Liu, QG				Sun, Liankang; Wang, Liang; Chen, Tianxiang; Shi, Yu; Yao, Bowen; Liu, Zhikui; Wang, Yufeng; Li, Qing; Liu, Runkun; Niu, Yongshen; Tu, Kangsheng; Liu, Qingguang			LncRNA RUNX1-IT1 which is downregulated by hypoxia-driven histone deacetylase 3 represses proliferation and cancer stem-like properties in hepatocellular carcinoma cells	CELL DEATH & DISEASE												Hepatocellular carcinoma (HCC) is characterised by a hypoxic microenvironment and a high rate of heterogeneity and recurrence, and the presence of cancer stem cells (CSCs) in HCC may well explain both of these pathological properties. There is mounting evidence that long non-coding RNAs (lncRNAs) participate in carcinogenesis and maintain cancer stemness of HCC cells. However, the expression modes, regulatory mechanisms and potential roles of stemness-related lncRNAs in HCC are still obscure. LncRNA RUNX1-IT1 is the intronic transcript 1 of the RUNX1, which is also known as chromosome 21 open-reading frame 96 (C21orF96). Although the functions of the RUNX1 have been identified in different diseases, the function and its potential mechanisms of the lncRNA RUNX1-IT1 in HCC still remains to be largely unknown. In this study, we verified that the expression of LncRNA RUNX1-IT1 was decreased in GEO data set, HCC samples and correlated with unfavourable clinicopathologic characteristics and poor prognosis. RUNX1-IT1 repressed HCC cell proliferation, cell cycle progression, invasion and cancer stemness and induced apoptosis in vitro. Overexpression of RUNX1-IT1 impaired the growth, metastasis and stem-like features of HCC cells in vivo. Mechanistically, RUNX1-IT1 directly bound to miR-632 and acted as competing endogenous RNA to facilitate the expression of the miR-632 target gene GSK-3 beta and subsequently modulate the WNT/beta-catenin pathway in HCC cells. Furthermore, hypoxia-driven histone deacetylase 3 (HDAC3), as an upstream regulatory mechanism, was critical for the downregulation of RUNX1-IT1 in HCC. Thus, lncRNA RUNX1-IT1, as a regulator of hypoxia, may function as a potential therapeutic target for conquering HCC.					Tu, Kangsheng/0000-0002-0032-1459												2041-4889					FEB 5	2020	11	2							95	10.1038/s41419-020-2274-x							WOS:000514339900004	32024815					
J	Sistigu, A; Di Modugno, F; Manic, G; Nistico, P				Sistigu, Antonella; Di Modugno, Francesca; Manic, Gwenola; Nistico, Paola			Deciphering the loop of epithelial-mesenchymal transition, inflammatory cytokines and cancer immunoediting	CYTOKINE & GROWTH FACTOR REVIEWS					16th Conference of the Italian-Network-for-Tumor-Biotherapy (NIBIT) on Cancer BioImmunotherapy	OCT 13-15, 2016	Siena, ITALY	Italian Network Tumor Biotherapy				Tumorigenesis and tumor progression relies on the dialectics between tumor cells, the extracellular matrix and its remodelling enzymes, neighbouring cells and soluble cues. The host immune response is crucial in eliminating or promoting tumor growth and the reciprocal coevolution of tumor and immune cells, during disease progression and in response to therapy, shapes tumor fate by activating innate and adaptive mechanisms. The phenotypic plasticity is a common feature of epithelial and immune cells and epithelial-mesenchymal transition (EMT) is a dynamic process, governed by microenvironmental stimuli, critical in tumor cell shaping, increased tumor cell heterogeneity and sternness. In this review we will outline how the dysregulation of microenvironmental signaling is crucial in determining,tumor plasticity and EMT, arguing how therapy resistance hinges on these dynamics. C) 2017 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).				Di Modugno, Francesca/B-2865-2018; Nistico, Paola/B-2862-2018; Manic, Gwenola/J-8496-2018; Di Modugno, Francesca/ABH-9406-2020	Di Modugno, Francesca/0000-0003-1427-1883; Nistico, Paola/0000-0003-4409-2261; Di Modugno, Francesca/0000-0003-1427-1883; Manic, Gwenola/0000-0003-3759-8029												1359-6101	1879-0305				AUG	2017	36				SI		67	77		10.1016/j.cytogfr.2017.05.008							WOS:000409290000009	28595838					
J	Molina-Castro, S; Pereira-Marques, J; Figueiredo, C; Machado, JC; Varon, C				Molina-Castro, Silvia; Pereira-Marques, Joana; Figueiredo, Ceu; Machado, Jose C.; Varon, Christine			Gastric cancer: Basic aspects	HELICOBACTER					30th International Workshop of the European-Helicobacter-and-Microbiota-Study-Group (EHMSG) on Helicobacter and Microbiota in Inflammation and Cancer	SEP 07-09, 2017	Bordeaux, FRANCE	European Helicobacter & Microbiota Study Grp				Gastric cancer is one of the most incident and deadliest malignancies in the world. Gastric cancer is a heterogeneous disease and the end point of a long and multistep process, which results from the stepwise accumulation of numerous (epi) genetic alterations, leading to dysregulation of oncogenic and tumor suppressor pathways. Gastric cancer stem cells have emerged as fundamental players in cancer development and as contributors to gastric cancer heterogeneity. For this special issue, we will report last year's update on the gastric cancer molecular classification, and in particular address the gastric cancer groups who could benefit from immune checkpoint therapy. We will also review the latest advances on gastric cancer stem cells, their properties as gastric cancer markers and therapeutic targets, and associated signaling pathways. The understanding of the molecular basis underlying gastric cancer heterogeneity and of the role played by gastric cancer stem cells in cancer development and heterogeneity is of major significance, not only for identifying novel targets for cancer prevention and treatment, but also for clinical management and patient stratification for targeted therapies.				Figueiredo, Ceu/B-8776-2008; Pereira-Marques, Joana/W-6828-2019; Machado, Jose Carlos/C-5907-2009; Pereira-Marques, Joana/N-2421-2016	Figueiredo, Ceu/0000-0001-5247-840X; Pereira-Marques, Joana/0000-0002-8101-2219; Machado, Jose Carlos/0000-0003-4741-8415; Pereira-Marques, Joana/0000-0002-8101-2219; Varon, Christine/0000-0003-4026-2016												1083-4389	1523-5378				SEP	2017	22			1	SI				e12412	10.1111/hel.12412							WOS:000423287200010	28891129					
J	Lee, SH; Kwon, HJ; Park, S; Il Kim, C; Ryu, H; Kim, SS; Park, JB; Kwon, JT				Lee, Shin Heon; Kwon, Hyung Joon; Park, Saewhan; Il Kim, Chan; Ryu, Haseo; Kim, Sung Soo; Park, Jong Bae; Kwon, Jeong Taik			Macrophage migration inhibitory factor (MIF) inhibitor 4-IPP downregulates stemness phenotype and mesenchymal trans-differentiation after irradiation in glioblastoma multiforme	PLOS ONE												Radiation therapy is among the most essential treatment methods for glioblastoma multiforme (GBM). Radio-resistance and cancer stem cell properties can cause therapeutic resistance, cancer heterogeneity, and poor prognoses in association with GBM. Furthermore, the GBM subtype transition from proneural to the most malignant mesenchymal subtype after radiation therapy also accounts for high resistance to conventional treatments. Here, we demonstrate that the inhibition of macrophage migration inhibitory factor (MIF) and D-dopachrome tautomerase (DDT) by 4-iodo-6-phenylpyrimidine (4-IPP), a dual inhibitor targeting MIF and DDT, downregulates stemness phenotype, intracellular signaling cascades, mesenchymal trans-differentiation, and induces apoptosis in proneural glioma stem cells (GSCs). In an analysis of The Cancer Genome Atlas, high MIF and DDT expression were associated with poor prognosis. GSC growth was effectively inhibited by 4-IPP in a time- and dose-dependent manner, and 4-IPP combined with radiation therapy led to significantly reduced proliferation compared with radiation therapy alone. The expression of stemness factors, such as Olig2 and SOX2, and the expression of pAKT, indicating PI3K signaling pathway activation, were decreased in association with both 4-IPP monotherapy and combination treatment. The expression of mesenchymal markers, TGM2 and NF-kappa B, and expression of pERK (indicating MAPK signaling pathway activation) increased in association with radiation therapy alone but not with 4-IPP monotherapy and combination therapy. In addition, the combination of 4-IPP and radiation therapy significantly induced apoptosis compared to the monotherapy of 4-IPP or radiation. In vivo results demonstrated a significant tumor-suppressing effect of 4-IPP when combined with radiation therapy. Collectively, our results showed that the targeted inhibition of MIF and DDT has the potential to strengthen current clinical strategies by enhancing the anticancer effects of radiation therapy.					Kwon, Jeong-taik/0000-0002-7889-7634; Lee, Shin-Heon/0000-0002-5424-1374												1932-6203					SEP 13	2021	16	9							e0257375	10.1371/journal.pone.0257375							WOS:000707114200031	34516577					
J	Ricardo, S; Vieira, AF; Gerhard, R; Leitao, D; Pinto, R; Cameselle-Teijeiro, JF; Milanezi, F; Schmitt, F; Paredes, J				Ricardo, Sara; Vieira, Andre Filipe; Gerhard, Rene; Leitao, Dina; Pinto, Regina; Cameselle-Teijeiro, Jorge F.; Milanezi, Fernanda; Schmitt, Fernando; Paredes, Joana			Breast cancer stem cell markers CD44, CD24 and ALDH1: expression distribution within intrinsic molecular subtype	JOURNAL OF CLINICAL PATHOLOGY												Background and Aim The study of CD44/CD24 and ALDH1 expression is the most accurate method to identify cancer stem cells (CSC) from breast cancer populations. However, the overlap between CD44(+)CD24(-/low) and ALDH1(high) CSC phenotypes in breast cancer seems to be very small, as well as their distribution among intrinsic breast cancer subtypes. Due to this discrepancy, it is imperative to improve the understanding of breast CSC marker distribution. Methods 466 invasive breast carcinomas and eight breast cancer cell lines were analysed for the expression of CD44, CD24 and ALDH1, to evaluate their distribution among the distinct molecular subtypes. Results Basal-like tumours (76.5%) contained the higher percentage of cells with the CSC phenotype CD44(+)CD24(-/low) (p<0.0001). From ALDH1-positive cases, 39.4% were also basal-like tumours (p<0.0001). The analysis of breast cancer cell lines indicated that luminal cell lines are mainly enriched in a CD44(-/low)CD24(+) cell population, basal/mesenchymal breast cancer cell lines are enriched in the CD44(+)CD24(-/low) phenotype, whereas the remaining basal/epithelial cell lines are mainly positive for both markers. ALDH1 activity was mainly found in HER-OE and basal/epithelial breast cancer cell. Conclusions CD44(+)CD24(-/low) and ALDH1(+) phenotypes seem to identify CSC with distinct levels of differentiation. It seems that the paramount method and biomarkers that identify breast CSC within the distinct molecular subtypes need to be better explored, because it is pivotal to translate the CSC concept to clinical practice. In the future, the recognition of reliable markers to distinguish the CSC pool in each molecular subtype will be decisive for the development of specific target therapies.				Paredes, Joana/F-8224-2011; Schmitt, Fernando/A-5270-2008; Vieira, Andre F/J-6805-2013; Ricardo, Sara Alexandra Vinhas/J-6940-2013	Paredes, Joana/0000-0002-1076-1343; Schmitt, Fernando/0000-0002-3711-8681; Vieira, Andre F/0000-0002-3070-6448; Ricardo, Sara Alexandra Vinhas/0000-0003-4091-2226; Schmitt, Fernando/0000-0003-1006-6946												0021-9746	1472-4146				NOV	2011	64	11					937	946		10.1136/jcp.2011.090456							WOS:000296189000001	21680574					
J	Nadal, R; Ortega, FG; Salido, M; Lorente, JA; Rodriguez-Rivera, M; Delgado-Rodriguez, M; Macia, M; Fernandez, A; Corominas, JM; Garcia-Puche, JL; Sanchez-Rovira, P; Sole, F; Serrano, MJ				Nadal, Rosa; Gabriel Ortega, F.; Salido, Marta; Lorente, Jose A.; Rodriguez-Rivera, Maria; Delgado-Rodriguez, Miguel; Macia, Marta; Fernandez, Ana; Corominas, Josep M.; Luis Garcia-Puche, J.; Sanchez-Rovira, Pedro; Sole, Francesc; Jose Serrano, M.			CD133 expression in circulating tumor cells from breast cancer patients: Potential role in resistance to chemotherapy	INTERNATIONAL JOURNAL OF CANCER												CD133 has been associated with cell properties such as self renewal, migration and vasculogenic mimicry, potentially involved in generation of circulating tumor cells (CTCs). We characterized CD133 expression in CTCs of 98 nometastatic breast cancer (BC) patients. CTCs were isolated by immunomagnetic techniques using magnetic beads labeled with a multicytokeratin(CK)-specific antibody (CK3-11D5) and CTCs and CD133 detection through immunocytochemical methods. CK+/CD133(+) CTCs were identified in 65% of patients at baseline and 47.8% after systemic therapy (p = 0.53). Correlation of CD133 status in CTCs with classical clinicopathological characteristics and response to therapy was performed. Her2 not amplified and low Ki-67 index were positively correlated with presence of CK+/CD133(+) CTCs. Before any treatment, CK+/CD133(+) CTCs were more frequently isolated in patients with luminal BC subtype. No statistically significant differences were found between proportion of CK+/CD133(+) CTCs and BC subtypes after systemic therapy, implying a relative enrichment of CK+/CD133(+) CTCs in triple negative and HER2-amplified tumors. While CK+/CTCs decreases after chemotherapy when analyzing the whole population, CK+/CD133(+) CTCs were enriched in post-treatment samples in nonluminal BC subtypes. These findings suggest the potential role of CD133 as a promising marker of chemoresistance in nonluminal BC patients. Further prospective studies and extensive preclinical modeling will be needed to confirm whether CD133 is a marker of resistance to chemotherapy, and its role as a target for novel anticancer therapies targeting cancer stem cells and tumor vasculature. What's new? Despite advances in breast cancer treatments, primary and acquired resistance to cancer therapies remains a challenge. Here the authors looked at the expression of CD133a glycoprotein associated with stem cell and migratory properties and vasculogenic mimicryin circulating tumor cells (CTCs) of non-metastatic patients. CD133 was widely expressed, particularly in patients with luminal tumors before they received treatment. A relative enrichment was detected in non-luminal tumor subtypes following systemic therapy, suggesting a potential role of CD133+ CTCs in chemoresistance. Characterization of CD133 in CTCs might help to develop new therapeutic approaches targeting cancer stem cells and tumor vasculature.				Sole, Francesc/K-8373-2012; LORENTE, JOSE A./B-8372-2008	Sole, Francesc/0000-0002-3251-2161; Ortega Sanchez, Francisco Gabriel/0000-0003-0563-2237; LORENTE, JOSE A./0000-0002-9892-7386												0020-7136	1097-0215				NOV 15	2013	133	10					2398	2407		10.1002/ijc.28263							WOS:000324072300015	23661576					
